2024-01-24 22:25:08 - Epoch 1: Training Loss: 3.9766, Training Accuracy = 26.088%, Test Loss: 2.1739, Test Accuracy = 59.7239%
2024-01-24 22:37:49 - Epoch 2: Training Loss: 1.3929, Training Accuracy = 74.6387%, Test Loss: 0.8637, Test Accuracy = 81.4726%
2024-01-24 22:50:02 - Epoch 3: Training Loss: 0.4984, Training Accuracy = 90.3957%, Test Loss: 0.6296, Test Accuracy = 83.0832%
2024-01-24 23:02:22 - Epoch 4: Training Loss: 0.2116, Training Accuracy = 96.4221%, Test Loss: 0.5311, Test Accuracy = 85.6799%
2024-01-24 23:16:07 - Epoch 5: Training Loss: 0.0996, Training Accuracy = 98.7126%, Test Loss: 0.5135, Test Accuracy = 86.151%
2024-01-24 23:29:17 - Epoch 6: Training Loss: 0.0542, Training Accuracy = 99.3444%, Test Loss: 0.5622, Test Accuracy = 84.6499%
2024-01-24 23:43:26 - Epoch 7: Training Loss: 0.0486, Training Accuracy = 99.2102%, Test Loss: 0.6016, Test Accuracy = 84.5185%
2024-01-24 23:59:16 - Epoch 8: Training Loss: 0.0409, Training Accuracy = 99.2102%, Test Loss: 0.585, Test Accuracy = 85.4826%
2024-01-25 00:15:05 - Epoch 9: Training Loss: 0.0392, Training Accuracy = 99.1944%, Test Loss: 0.6024, Test Accuracy = 84.7705%
2024-01-25 00:27:35 - Epoch 10: Training Loss: 0.0275, Training Accuracy = 99.5656%, Test Loss: 0.5965, Test Accuracy = 85.3621%
2024-01-25 00:40:45 - Epoch 11: Training Loss: 0.0135, Training Accuracy = 99.8499%, Test Loss: 0.5631, Test Accuracy = 86.3482%
2024-01-25 00:55:41 - Epoch 12: Training Loss: 0.0092, Training Accuracy = 99.9526%, Test Loss: 0.5556, Test Accuracy = 86.6878%
2024-01-25 01:10:07 - Epoch 13: Training Loss: 0.0089, Training Accuracy = 99.9131%, Test Loss: 0.5531, Test Accuracy = 86.6878%
2024-01-25 01:22:46 - Epoch 14: Training Loss: 0.0067, Training Accuracy = 99.9842%, Test Loss: 0.5537, Test Accuracy = 86.8522%
2024-01-25 01:36:33 - Epoch 15: Training Loss: 0.006, Training Accuracy = 99.9842%, Test Loss: 0.5586, Test Accuracy = 86.9727%
2024-01-25 01:49:36 - Epoch 16: Training Loss: 0.0053, Training Accuracy = 99.9921%, Test Loss: 0.5556, Test Accuracy = 87.0275%
2024-01-25 02:03:43 - Epoch 17: Training Loss: 0.0048, Training Accuracy = 99.9921%, Test Loss: 0.5579, Test Accuracy = 87.1042%
2024-01-25 02:17:04 - Epoch 18: Training Loss: 0.0046, Training Accuracy = 99.9842%, Test Loss: 0.5615, Test Accuracy = 87.0932%
2024-01-25 02:29:29 - Epoch 19: Training Loss: 0.0046, Training Accuracy = 99.9684%, Test Loss: 0.565, Test Accuracy = 87.2138%
2024-01-25 02:41:54 - Epoch 20: Training Loss: 0.0034, Training Accuracy = 99.9921%, Test Loss: 0.5648, Test Accuracy = 87.3672%
2024-01-25 02:54:47 - Epoch 21: Training Loss: 0.0033, Training Accuracy = 100.0%, Test Loss: 0.5645, Test Accuracy = 87.4438%
2024-01-25 03:08:02 - Epoch 22: Training Loss: 0.0037, Training Accuracy = 99.9684%, Test Loss: 0.5647, Test Accuracy = 87.3124%
